provincia,fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_ag,num_casos_prueba_elisa,num_casos_prueba_desconocida,num_hosp,num_uci,num_def,tmed,prec,tmin,tmax,wd,ws,ws_max,sol,mob_grocery_pharmacy,mob_parks,mob_residential,mob_retail_recreation,mob_transit_stations,mob_workplaces,mob_flujo
Asturias,2020-01-26,0,0,0,0,0,0,0,0,0,10.5,3.3,5.2,15.8,99,3.9,10.8,7.3,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-26,0,0,0,0,0,0,0,0,0,10.4,0.1,5.2,15.7,14,1.9,5.8,8.3,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-27,0,0,0,0,0,0,1,0,0,10.8,0,6.1,15.4,25,3.6,12.5,4.4,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-01-27,1,1,0,0,0,0,0,0,0,4.9,0,0.4,9.4,22,3.3,12.8,0,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-01-27,0,0,0,0,0,0,0,0,0,12.6,0,6.8,18.4,99,3.3,10.8,8.4,NA,NA,NA,NA,NA,NA,NA
Asturias,2020-01-27,0,0,0,0,0,0,0,0,0,13.6,5.1,10.3,16.9,28,5.3,20,2.4,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-27,0,0,0,0,0,0,0,0,0,11,0,7.4,14.7,99,1.4,5.8,5.5,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-28,0,0,0,0,0,0,0,0,0,13.9,0,10.1,17.7,29,7.2,12.8,0.2,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-01-28,1,1,0,0,0,0,3,0,0,11.5,0,9.1,13.9,25,8.1,16.1,0.6,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-01-28,0,0,0,0,0,0,0,0,0,16.4,0,13,19.8,27,7.5,13.9,8.6,NA,NA,NA,NA,NA,NA,NA
Asturias,2020-01-28,0,0,0,0,0,0,0,0,0,11.4,4.1,8.9,13.8,31,4.7,16.1,7.6,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-28,0,0,0,0,0,0,0,0,0,13.2,0,10.5,16,99,0.8,4.7,0.2,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-29,0,0,0,0,0,0,8,0,0,12.3,0,8.2,16.4,1,2.5,6.1,3,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-01-29,2,2,0,0,0,0,2,0,0,12.6,0,10.5,14.8,25,3.1,12.5,1.2,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-01-29,0,0,0,0,0,0,1,0,0,15.7,0,10.1,21.3,29,2.5,11.7,7.6,NA,NA,NA,NA,NA,NA,NA
Asturias,2020-01-29,0,0,0,0,0,0,0,0,0,12.7,3.6,8.5,16.9,24,3.6,13.3,0,NA,NA,NA,NA,NA,NA,NA
Sevilla,2020-01-29,0,0,0,0,0,0,0,0,0,13.2,0,9.1,17.3,99,2.5,5,6.1,NA,NA,NA,NA,NA,NA,NA
Barcelona,2020-01-30,0,0,0,0,0,0,1,0,0,13.8,0,8.7,18.8,1,3.1,7.5,3.5,NA,NA,NA,NA,NA,NA,NA
Madrid,2020-01-30,1,1,0,0,0,0,5,0,0,11,0,8.8,13.1,22,3.9,12.5,1,NA,NA,NA,NA,NA,NA,NA
Málaga,2020-01-30,0,0,0,0,0,0,1,0,0,17.2,0,11.4,23,29,5.3,11.7,8.2,NA,NA,NA,NA,NA,NA,NA
Asturias,2020-01-30,0,0,0,0,0,0,1,0,0,14.3,0.5,10.3,18.3,27,2.5,10.3,0.6,NA,NA,NA,NA,NA,NA,NA
